Medicine,Category,Year-Month,Season,Units Sold,Stock Available,Expiry Date
Fexofenadine,Cold,2024-11,Monsoon,1643,1020,2026-12-31
Fexofenadine,Cold,2024-08,Summer,1867,1020,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-03,Spring,1718,1632,2026-12-31
Carbocisteine,Cough,2024-08,Summer,1942,698,2026-12-31
Phenylephrine,Cold,2024-10,Monsoon,1846,1704,2026-12-31
Cetirizine,Cold,2024-02,Winter,1570,1246,2026-12-31
Mefenamic Acid,Fever,2024-09,Monsoon,1712,1021,2026-12-31
Levocetirizine,Cold,2024-08,Summer,1769,1150,2026-12-31
Terbutaline,Cough,2024-04,Spring,1599,1365,2026-12-31
Guaifenesin,Cough,2024-04,Spring,1747,716,2026-12-31
Diphenhydramine,Cold,2024-01,Winter,1638,913,2026-12-31
Montelukast,Cold,2024-01,Winter,1523,1352,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-04,Spring,1861,1632,2026-12-31
Ibuprofen,Fever,2024-04,Spring,1615,1477,2026-12-31
Ambroxol,Cough,2024-06,Summer,1476,1527,2026-12-31
Levodropropizine,Cough,2024-02,Winter,1668,808,2026-12-31
Levocetirizine,Cold,2024-11,Monsoon,1925,1150,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-05,Spring,1723,922,2026-12-31
Ambroxol,Cough,2024-11,Monsoon,1642,1527,2026-12-31
Phenylephrine,Cold,2024-12,Winter,1386,1704,2026-12-31
Guaifenesin,Cough,2024-12,Winter,1597,716,2026-12-31
Codeine (Prescription Only),Cough,2024-01,Winter,1789,1806,2026-12-31
Guaifenesin,Cough,2024-09,Monsoon,1302,716,2026-12-31
Diclofenac,Fever,2024-06,Summer,1636,1660,2026-12-31
Aspirin,Fever,2024-04,Spring,1645,623,2026-12-31
Acetaminophen,Fever,2024-04,Spring,1736,1460,2026-12-31
Paracetamol,Fever,2024-02,Winter,1297,946,2026-12-31
Bromhexine,Cough,2024-01,Winter,1469,872,2026-12-31
Montelukast,Cold,2024-01,Winter,1730,1352,2026-12-31
Paracetamol,Fever,2024-04,Spring,1503,946,2026-12-31
Terbutaline,Cough,2024-05,Spring,1856,1365,2026-12-31
Acetaminophen,Fever,2024-01,Winter,1578,1460,2026-12-31
Montelukast,Cold,2024-02,Winter,1309,1352,2026-12-31
Codeine (Prescription Only),Cough,2024-05,Spring,1681,1806,2026-12-31
Phenylephrine,Cold,2024-07,Summer,1376,1704,2026-12-31
Levodropropizine,Cough,2024-09,Monsoon,2001,808,2026-12-31
Cetirizine,Cold,2024-06,Summer,1795,1246,2026-12-31
Fexofenadine,Cold,2024-12,Winter,1496,1020,2026-12-31
Levocetirizine,Cold,2024-02,Winter,1397,1150,2026-12-31
Ibuprofen,Fever,2024-10,Monsoon,1807,1477,2026-12-31
Terbutaline,Cough,2024-12,Winter,1533,1365,2026-12-31
Guaifenesin,Cough,2024-05,Spring,1705,716,2026-12-31
Dextromethorphan,Cough,2024-06,Summer,2129,1445,2026-12-31
Levocetirizine,Cold,2024-02,Winter,1420,1150,2026-12-31
Paracetamol,Cold,2024-12,Winter,1410,1346,2026-12-31
Chlorpheniramine Maleate,Cold,2024-04,Spring,1613,1264,2026-12-31
Naproxen,Fever,2024-11,Monsoon,1653,1446,2026-12-31
Diclofenac,Fever,2024-08,Summer,2053,1660,2026-12-31
Ibuprofen,Fever,2024-10,Monsoon,1785,1477,2026-12-31
Acetaminophen,Fever,2024-03,Spring,1725,1460,2026-12-31
Fexofenadine,Cold,2024-06,Summer,1536,1020,2026-12-31
Celecoxib,Fever,2024-07,Summer,1634,1489,2026-12-31
Acebrophylline,Cough,2024-12,Winter,1799,1143,2026-12-31
Mefenamic Acid,Fever,2024-07,Summer,1687,1021,2026-12-31
Ibuprofen,Fever,2024-07,Summer,1326,1477,2026-12-31
Bromhexine,Cough,2024-11,Monsoon,1522,872,2026-12-31
Montelukast,Cold,2024-01,Winter,1476,1352,2026-12-31
Mefenamic Acid,Fever,2024-04,Spring,1739,1021,2026-12-31
Fexofenadine,Cold,2024-11,Monsoon,1908,1020,2026-12-31
Montelukast,Cold,2024-10,Monsoon,1617,1352,2026-12-31
Diphenhydramine,Cold,2024-09,Monsoon,1161,913,2026-12-31
Carbocisteine,Cough,2024-11,Monsoon,1606,698,2026-12-31
Diclofenac,Fever,2024-07,Summer,1757,1660,2026-12-31
Celecoxib,Fever,2024-12,Winter,1528,1489,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-11,Monsoon,1859,922,2026-12-31
Diphenhydramine,Cold,2024-11,Monsoon,1714,913,2026-12-31
Acebrophylline,Cough,2024-12,Winter,1889,1143,2026-12-31
Carbocisteine,Cough,2024-05,Spring,1647,698,2026-12-31
Diclofenac,Fever,2024-03,Spring,1587,1660,2026-12-31
Paracetamol,Cold,2024-08,Summer,1629,1346,2026-12-31
Aspirin,Fever,2024-05,Spring,1927,623,2026-12-31
Diclofenac,Fever,2024-02,Winter,1540,1660,2026-12-31
Guaifenesin,Cough,2024-01,Winter,1791,716,2026-12-31
Acetaminophen,Fever,2024-07,Summer,1783,1460,2026-12-31
Terbutaline,Cough,2024-09,Monsoon,1659,1365,2026-12-31
Celecoxib,Fever,2024-05,Spring,1785,1489,2026-12-31
Chlorpheniramine Maleate,Cold,2024-01,Winter,1677,1264,2026-12-31
Pseudoephedrine,Cold,2024-02,Winter,1819,1024,2026-12-31
Levodropropizine,Cough,2024-02,Winter,1683,808,2026-12-31
Diclofenac,Fever,2024-05,Spring,1749,1660,2026-12-31
Diclofenac,Fever,2024-09,Monsoon,1544,1660,2026-12-31
Levocetirizine,Cold,2024-10,Monsoon,1818,1150,2026-12-31
Fexofenadine,Cold,2024-12,Winter,1625,1020,2026-12-31
Chlorpheniramine Maleate,Cold,2024-02,Winter,1699,1264,2026-12-31
Levodropropizine,Cough,2024-03,Spring,1441,808,2026-12-31
Paracetamol,Cold,2024-06,Summer,1780,1346,2026-12-31
Levocetirizine,Cold,2024-02,Winter,1316,1150,2026-12-31
Ambroxol,Cough,2024-12,Winter,1888,1527,2026-12-31
Acebrophylline,Cough,2024-09,Monsoon,1844,1143,2026-12-31
Aspirin,Fever,2024-06,Summer,1635,623,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-02,Winter,1364,922,2026-12-31
Nimesulide,Fever,2024-07,Summer,1679,659,2026-12-31
Acetaminophen,Fever,2024-12,Winter,1768,1460,2026-12-31
Pseudoephedrine,Cold,2024-02,Winter,1573,1024,2026-12-31
Levocetirizine,Cold,2024-07,Summer,1566,1150,2026-12-31
Terbutaline,Cough,2024-04,Spring,1633,1365,2026-12-31
Codeine (Prescription Only),Cough,2024-04,Spring,1483,1806,2026-12-31
Phenylephrine,Cold,2024-01,Winter,1392,1704,2026-12-31
Guaifenesin,Cough,2024-08,Summer,1745,716,2026-12-31
Ketorolac,Fever,2024-04,Spring,1637,1024,2026-12-31
Levodropropizine,Cough,2024-06,Summer,1892,808,2026-12-31
Aspirin,Fever,2024-01,Winter,1796,623,2026-12-31
Bromhexine,Cough,2024-05,Spring,1564,872,2026-12-31
Acebrophylline,Cough,2024-12,Winter,1794,1143,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-05,Spring,1724,1632,2026-12-31
Paracetamol,Fever,2024-03,Spring,1900,946,2026-12-31
Acebrophylline,Cough,2024-01,Winter,1722,1143,2026-12-31
Bromhexine,Cough,2024-09,Monsoon,1619,872,2026-12-31
Guaifenesin,Cough,2024-05,Spring,1757,716,2026-12-31
Acetaminophen,Fever,2024-06,Summer,1485,1460,2026-12-31
Acebrophylline,Cough,2024-05,Spring,1543,1143,2026-12-31
Codeine (Prescription Only),Cough,2024-09,Monsoon,1736,1806,2026-12-31
Nimesulide,Fever,2024-06,Summer,1803,659,2026-12-31
Celecoxib,Fever,2024-01,Winter,1957,1489,2026-12-31
Diclofenac,Fever,2024-08,Summer,2000,1660,2026-12-31
Guaifenesin,Cough,2024-01,Winter,1998,716,2026-12-31
Celecoxib,Fever,2024-11,Monsoon,1989,1489,2026-12-31
Diphenhydramine,Cold,2024-10,Monsoon,1829,913,2026-12-31
Pseudoephedrine,Cold,2024-12,Winter,1691,1024,2026-12-31
Bromhexine,Cough,2024-04,Spring,1664,872,2026-12-31
Ketorolac,Fever,2024-03,Spring,1668,1024,2026-12-31
Celecoxib,Fever,2024-01,Winter,2004,1489,2026-12-31
Celecoxib,Fever,2024-12,Winter,1637,1489,2026-12-31
Levocetirizine,Cold,2024-11,Monsoon,1860,1150,2026-12-31
Levodropropizine,Cough,2024-10,Monsoon,1788,808,2026-12-31
Nimesulide,Fever,2024-01,Winter,1883,659,2026-12-31
Dextromethorphan,Cough,2024-01,Winter,1787,1445,2026-12-31
Nimesulide,Fever,2024-09,Monsoon,1723,659,2026-12-31
Levocetirizine,Cold,2024-02,Winter,1555,1150,2026-12-31
Diclofenac,Fever,2024-05,Spring,1702,1660,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-08,Summer,1613,922,2026-12-31
Paracetamol,Cold,2024-11,Monsoon,1529,1346,2026-12-31
Terbutaline,Cough,2024-06,Summer,1400,1365,2026-12-31
Ambroxol,Cough,2024-01,Winter,1854,1527,2026-12-31
Levocetirizine,Cold,2024-11,Monsoon,1631,1150,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-08,Summer,1826,1632,2026-12-31
Mefenamic Acid,Fever,2024-07,Summer,1767,1021,2026-12-31
Cetirizine,Cold,2024-01,Winter,1531,1246,2026-12-31
Nimesulide,Fever,2024-12,Winter,1812,659,2026-12-31
Fexofenadine,Cold,2024-02,Winter,1724,1020,2026-12-31
Terbutaline,Cough,2024-09,Monsoon,2012,1365,2026-12-31
Diclofenac,Fever,2024-03,Spring,1907,1660,2026-12-31
Levodropropizine,Cough,2024-11,Monsoon,1373,808,2026-12-31
Celecoxib,Fever,2024-07,Summer,1844,1489,2026-12-31
Levocetirizine,Cold,2024-10,Monsoon,1686,1150,2026-12-31
Carbocisteine,Cough,2024-03,Spring,1989,698,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-05,Spring,1474,1632,2026-12-31
Bromhexine,Cough,2024-11,Monsoon,1517,872,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-12,Winter,1499,1632,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-03,Spring,1715,1632,2026-12-31
Fexofenadine,Cold,2024-01,Winter,1449,1020,2026-12-31
Paracetamol,Fever,2024-07,Summer,1585,946,2026-12-31
Diclofenac,Fever,2024-08,Summer,1962,1660,2026-12-31
Dextromethorphan,Cough,2024-04,Spring,1727,1445,2026-12-31
Acetaminophen,Fever,2024-12,Winter,1950,1460,2026-12-31
Diclofenac,Fever,2024-07,Summer,1633,1660,2026-12-31
Guaifenesin,Cough,2024-09,Monsoon,1276,716,2026-12-31
Nimesulide,Fever,2024-03,Spring,1489,659,2026-12-31
Paracetamol,Cold,2024-02,Winter,1672,1346,2026-12-31
Montelukast,Cold,2024-07,Summer,2007,1352,2026-12-31
Diclofenac,Fever,2024-01,Winter,1695,1660,2026-12-31
Terbutaline,Cough,2024-01,Winter,1792,1365,2026-12-31
Carbocisteine,Cough,2024-10,Monsoon,1501,698,2026-12-31
Guaifenesin,Cough,2024-03,Spring,1433,716,2026-12-31
Paracetamol,Cold,2024-09,Monsoon,1560,1346,2026-12-31
Cetirizine,Cold,2024-07,Summer,1482,1246,2026-12-31
Diphenhydramine,Cold,2024-03,Spring,1651,913,2026-12-31
Naproxen,Fever,2024-08,Summer,1649,1446,2026-12-31
Acebrophylline,Cough,2024-07,Summer,1679,1143,2026-12-31
Aspirin,Fever,2024-12,Winter,1444,623,2026-12-31
Celecoxib,Fever,2024-02,Winter,1732,1489,2026-12-31
Bromhexine,Cough,2024-06,Summer,1500,872,2026-12-31
Acetaminophen,Fever,2024-03,Spring,1860,1460,2026-12-31
Montelukast,Cold,2024-01,Winter,1557,1352,2026-12-31
Acebrophylline,Cough,2024-08,Summer,1736,1143,2026-12-31
Phenylephrine,Cold,2024-09,Monsoon,1541,1704,2026-12-31
Ketorolac,Fever,2024-01,Winter,1594,1024,2026-12-31
Guaifenesin,Cough,2024-02,Winter,1464,716,2026-12-31
Acetaminophen,Fever,2024-02,Winter,1556,1460,2026-12-31
Levodropropizine,Cough,2024-06,Summer,1896,808,2026-12-31
Carbocisteine,Cough,2024-07,Summer,1585,698,2026-12-31
Pseudoephedrine,Cold,2024-08,Summer,1902,1024,2026-12-31
Mefenamic Acid,Fever,2024-01,Winter,1645,1021,2026-12-31
Ketorolac,Fever,2024-11,Monsoon,1611,1024,2026-12-31
Ibuprofen,Fever,2024-05,Spring,1820,1477,2026-12-31
Paracetamol,Fever,2024-07,Summer,1555,946,2026-12-31
Ketorolac,Fever,2024-05,Spring,1855,1024,2026-12-31
Montelukast,Cold,2024-03,Spring,1571,1352,2026-12-31
Pseudoephedrine,Cold,2024-11,Monsoon,1965,1024,2026-12-31
Ambroxol,Cough,2024-04,Spring,1404,1527,2026-12-31
Naproxen,Fever,2024-03,Spring,1904,1446,2026-12-31
Bromhexine,Cough,2024-12,Winter,1776,872,2026-12-31
Carbocisteine,Cough,2024-04,Spring,1739,698,2026-12-31
Guaifenesin,Cough,2024-12,Winter,1437,716,2026-12-31
Bromhexine,Cough,2024-03,Spring,1698,872,2026-12-31
Levodropropizine,Cough,2024-05,Spring,1490,808,2026-12-31
Naproxen,Fever,2024-01,Winter,1551,1446,2026-12-31
Carbocisteine,Cough,2024-10,Monsoon,1486,698,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-09,Monsoon,1984,922,2026-12-31
Guaifenesin,Cough,2024-05,Spring,1725,716,2026-12-31
Aspirin,Fever,2024-01,Winter,1665,623,2026-12-31
Carbocisteine,Cough,2024-04,Spring,1835,698,2026-12-31
Ibuprofen,Fever,2024-04,Spring,1566,1477,2026-12-31
Paracetamol,Cold,2024-11,Monsoon,1379,1346,2026-12-31
Chlorpheniramine Maleate,Cold,2024-09,Monsoon,1499,1264,2026-12-31
Levodropropizine,Cough,2024-12,Winter,1673,808,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-02,Winter,1613,1632,2026-12-31
Aspirin,Fever,2024-01,Winter,1549,623,2026-12-31
Cetirizine,Cold,2024-09,Monsoon,1613,1246,2026-12-31
Diclofenac,Fever,2024-06,Summer,1506,1660,2026-12-31
Aspirin,Fever,2024-09,Monsoon,1488,623,2026-12-31
Diphenhydramine,Cold,2024-01,Winter,1656,913,2026-12-31
Ibuprofen,Fever,2024-03,Spring,1633,1477,2026-12-31
Nimesulide,Fever,2024-05,Spring,1869,659,2026-12-31
Nimesulide,Fever,2024-12,Winter,1987,659,2026-12-31
Acebrophylline,Cough,2024-04,Spring,1426,1143,2026-12-31
Ibuprofen,Fever,2024-06,Summer,1775,1477,2026-12-31
Diphenhydramine,Cold,2024-09,Monsoon,1130,913,2026-12-31
Phenylephrine,Cold,2024-04,Spring,1840,1704,2026-12-31
Mefenamic Acid,Fever,2024-05,Spring,1750,1021,2026-12-31
Ambroxol,Cough,2024-10,Monsoon,1567,1527,2026-12-31
Aspirin,Fever,2024-02,Winter,1639,623,2026-12-31
Codeine (Prescription Only),Cough,2024-03,Spring,1573,1806,2026-12-31
Naproxen,Fever,2024-04,Spring,1709,1446,2026-12-31
Acetaminophen,Fever,2024-03,Spring,1792,1460,2026-12-31
Fexofenadine,Cold,2024-03,Spring,1997,1020,2026-12-31
Paracetamol,Fever,2024-05,Spring,1753,946,2026-12-31
Aspirin,Fever,2024-06,Summer,1530,623,2026-12-31
Cetirizine,Cold,2024-12,Winter,1856,1246,2026-12-31
Ketorolac,Fever,2024-05,Spring,1799,1024,2026-12-31
Bromhexine,Cough,2024-09,Monsoon,1679,872,2026-12-31
Dextromethorphan,Cough,2024-03,Spring,1647,1445,2026-12-31
Pseudoephedrine,Cold,2024-11,Monsoon,1673,1024,2026-12-31
Levocetirizine,Cold,2024-01,Winter,1473,1150,2026-12-31
Bromhexine,Cough,2024-10,Monsoon,1810,872,2026-12-31
Guaifenesin,Cough,2024-12,Winter,1710,716,2026-12-31
Terbutaline,Cough,2024-08,Summer,2016,1365,2026-12-31
Fexofenadine,Cold,2024-11,Monsoon,1822,1020,2026-12-31
Diclofenac,Fever,2024-05,Spring,1613,1660,2026-12-31
Mefenamic Acid,Fever,2024-03,Spring,1649,1021,2026-12-31
Bromhexine,Cough,2024-07,Summer,1803,872,2026-12-31
Paracetamol,Fever,2024-04,Spring,1389,946,2026-12-31
Paracetamol,Cold,2024-02,Winter,1482,1346,2026-12-31
Ketorolac,Fever,2024-07,Summer,1638,1024,2026-12-31
Pseudoephedrine,Cold,2024-03,Spring,1950,1024,2026-12-31
Fexofenadine,Cold,2024-04,Spring,1788,1020,2026-12-31
Terbutaline,Cough,2024-10,Monsoon,1669,1365,2026-12-31
Pseudoephedrine,Cold,2024-03,Spring,2016,1024,2026-12-31
Nimesulide,Fever,2024-11,Monsoon,1498,659,2026-12-31
Dextromethorphan,Cough,2024-12,Winter,1591,1445,2026-12-31
Naproxen,Fever,2024-07,Summer,1632,1446,2026-12-31
Codeine (Prescription Only),Cough,2024-07,Summer,1563,1806,2026-12-31
Celecoxib,Fever,2024-07,Summer,1902,1489,2026-12-31
Celecoxib,Fever,2024-09,Monsoon,1622,1489,2026-12-31
Levodropropizine,Cough,2024-05,Spring,1364,808,2026-12-31
Fexofenadine,Cold,2024-09,Monsoon,1716,1020,2026-12-31
Cetirizine,Cold,2024-10,Monsoon,1658,1246,2026-12-31
Terbutaline,Cough,2024-04,Spring,1832,1365,2026-12-31
Fexofenadine,Cold,2024-10,Monsoon,1910,1020,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-11,Monsoon,1618,922,2026-12-31
Diphenhydramine,Cold,2024-04,Spring,1553,913,2026-12-31
Celecoxib,Fever,2024-09,Monsoon,1590,1489,2026-12-31
Celecoxib,Fever,2024-08,Summer,1627,1489,2026-12-31
Phenylephrine,Cold,2024-04,Spring,1761,1704,2026-12-31
Phenylephrine,Cold,2024-07,Summer,1244,1704,2026-12-31
Nimesulide,Fever,2024-11,Monsoon,1599,659,2026-12-31
Dextromethorphan,Cough,2024-10,Monsoon,1820,1445,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-10,Monsoon,1801,922,2026-12-31
Phenylephrine,Cold,2024-08,Summer,1984,1704,2026-12-31
Nimesulide,Fever,2024-06,Summer,1774,659,2026-12-31
Terbutaline,Cough,2024-05,Spring,1638,1365,2026-12-31
Ambroxol,Cough,2024-05,Spring,1876,1527,2026-12-31
Pseudoephedrine,Cold,2024-06,Summer,1536,1024,2026-12-31
Ambroxol,Cough,2024-08,Summer,1637,1527,2026-12-31
Acetaminophen,Fever,2024-06,Summer,1369,1460,2026-12-31
Nimesulide,Fever,2024-12,Winter,1804,659,2026-12-31
Ambroxol,Cough,2024-03,Spring,1598,1527,2026-12-31
Naproxen,Fever,2024-03,Spring,1814,1446,2026-12-31
Ketorolac,Fever,2024-06,Summer,1804,1024,2026-12-31
Paracetamol,Cold,2024-06,Summer,1782,1346,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-05,Spring,1973,922,2026-12-31
Bromhexine,Cough,2024-08,Summer,1653,872,2026-12-31
Bromhexine,Cough,2024-08,Summer,1415,872,2026-12-31
Montelukast,Cold,2024-04,Spring,1734,1352,2026-12-31
Fexofenadine,Cold,2024-11,Monsoon,1578,1020,2026-12-31
Phenylephrine,Cold,2024-09,Monsoon,1673,1704,2026-12-31
